onset	nucleus	coda	tr	word	target	keep_enough_distance	keep_no_overlap
z	óm	ég	zómég	zómég	zómég	TRUE	TRUE
©	ajr	ed	©ajred	gyajred	©ajred	TRUE	TRUE
kl	uß	éd	klußéd	kluszéd	klußéd	TRUE	TRUE
ç	ú¥k	ég	çú¥kég	csúnykég	çú¥kég	TRUE	TRUE
p	ít	ek	pítek	pítek	pítek	TRUE	TRUE
p	aj	év	pajév	pajév	pajév	TRUE	TRUE
sp	i¬	ét	spi¬ét	spilyét	spi¬ét	TRUE	TRUE
v	om	elt	vomelt	vomelt	vomelt	TRUE	TRUE
br	um	eßk	brumeßk	brumeszk	brumeßk	TRUE	TRUE
k	aß	ert	kaßert	kaszert	kaßert	TRUE	TRUE
k	í¥l	erz	kí¥lerz	kínylerz	kí¥lerz	TRUE	TRUE
