onset	v	c1c2	tr	word	target	keep_enough_distance	keep_no_overlap
¥	í	ml	¥ímlik	nyímlik	¥íml	FALSE	TRUE
s	á	gl	ságlik	ságlik	ságl	FALSE	TRUE
v	á	ßp	váßpik	vászpik	váßp	TRUE	TRUE
h	ű	ßp	hűßpik	hűszpik	hűßp	TRUE	TRUE
b	ö	rz	börzik	börzik	börz	TRUE	TRUE
p	ü	sl	püslik	püslik	püsl	TRUE	TRUE
h	u	rz	hurzik	hurzik	hurz	TRUE	TRUE
r	o	rl	rorlik	rorlik	rorl	FALSE	TRUE
t	i	zl	tizlik	tizlik	tizl	TRUE	TRUE
j	u	¥l	ju¥lik	junylik	ju¥l	TRUE	TRUE
v	i	ßl	vißlik	viszlik	vißl	FALSE	TRUE
t	é	zl	tézlik	tézlik	tézl	TRUE	TRUE
s	á	lß	sálßik	sálszik	sálß	TRUE	TRUE
h	ű	jz	hűjzik	hűjzik	hűjz	TRUE	TRUE
b	é	sl	béslik	béslik	bésl	TRUE	TRUE
z	o	tl	zotlik	zotlik	zotl	FALSE	TRUE
ç	o	rd	çordik	csordik	çord	FALSE	TRUE
j	í	tß	jítßik	jítszik	jítß	FALSE	TRUE
d	o	ml	domlik	domlik	doml	FALSE	TRUE
NA	ü	sd	üsdik	üsdik	üsd	TRUE	TRUE
NA	ű	bz	űbzik	űbzik	űbz	TRUE	TRUE
h	á	ßl	háßlik	hászlik	háßl	FALSE	TRUE
r	ö	gr	rögrik	rögrik	rögr	TRUE	TRUE
l	o	gß	logßik	logszik	logß	TRUE	TRUE
ß	u	ng	ßungik	szungik	ßung	TRUE	TRUE
k	e	dl	kedlik	kedlik	kedl	FALSE	TRUE
t	e	dl	tedlik	tedlik	tedl	FALSE	FALSE
p	ö	bz	pöbzik	pöbzik	pöbz	TRUE	TRUE
p	á	lß	pálßik	pálszik	pálß	FALSE	TRUE
v	e	sl	veslik	veslik	vesl	FALSE	TRUE
m	o	ll	mollik	mollik	moll	FALSE	FALSE
v	i	gr	vigrik	vigrik	vigr	TRUE	TRUE
j	ü	rz	jürzik	jürzik	jürz	TRUE	TRUE
NA	e	zl	ezlik	ezlik	ezl	FALSE	TRUE
v	u	gz	vugzik	vugzik	vugz	TRUE	TRUE
k	é	rz	kérzik	kérzik	kérz	FALSE	TRUE
ç	ű	dl	çűdlik	csűdlik	çűdl	TRUE	TRUE
ß	e	¥l	ße¥lik	szenylik	ße¥l	TRUE	TRUE
¥	ű	zl	¥űzlik	nyűzlik	¥űzl	FALSE	TRUE
j	ű	rz	jűrzik	jűrzik	jűrz	TRUE	TRUE
k	í	dl	kídlik	kídlik	kídl	FALSE	TRUE
j	e	ml	jemlik	jemlik	jeml	TRUE	TRUE
s	a	ml	samlik	samlik	saml	FALSE	TRUE
j	ü	jz	jüjzik	jüjzik	jüjz	TRUE	TRUE
k	a	tl	katlik	katlik	katl	FALSE	TRUE
f	í	bz	fíbzik	fíbzik	fíbz	TRUE	TRUE
¥	ö	lß	¥ölßik	nyölszik	¥ölß	TRUE	TRUE
p	i	rz	pirzik	pirzik	pirz	FALSE	TRUE
d	ü	jl	düjlik	düjlik	düjl	TRUE	TRUE
d	ü	tß	dütßik	dütszik	dütß	TRUE	TRUE
l	o	sd	losdik	losdik	losd	FALSE	TRUE
r	ü	¥l	rü¥lik	rünylik	rü¥l	TRUE	TRUE
h	í	tl	hítlik	hítlik	hítl	FALSE	TRUE
l	i	ßl	lißlik	liszlik	lißl	FALSE	TRUE
t	á	tß	tátßik	tátszik	tátß	FALSE	TRUE
v	e	bz	vebzik	vebzik	vebz	TRUE	TRUE
p	á	ml	pámlik	pámlik	páml	FALSE	TRUE
ç	u	ml	çumlik	csumlik	çuml	FALSE	TRUE
j	a	gr	jagrik	jagrik	jagr	TRUE	TRUE
l	á	tl	látlik	látlik	látl	FALSE	TRUE
ç	ű	lß	çűlßik	csűlszik	çűlß	TRUE	TRUE
b	e	¥l	be¥lik	benylik	be¥l	TRUE	TRUE
z	a	gz	zagzik	zagzik	zagz	FALSE	TRUE
v	a	zl	vazlik	vazlik	vazl	TRUE	TRUE
d	ö	tß	dötßik	dötszik	dötß	TRUE	TRUE
h	o	zz	hozzik	hozzik	hozz	TRUE	TRUE
¥	ö	ml	¥ömlik	nyömlik	¥öml	FALSE	TRUE
z	u	rl	zurlik	zurlik	zurl	TRUE	TRUE
m	o	tß	motßik	motszik	motß	FALSE	TRUE
z	i	gr	zigrik	zigrik	zigr	TRUE	TRUE
z	o	gß	zogßik	zogszik	zogß	TRUE	TRUE
r	é	kl	réklik	réklik	rékl	FALSE	TRUE
r	u	dl	rudlik	rudlik	rudl	TRUE	TRUE
p	a	ßp	paßpik	paszpik	paßp	FALSE	TRUE
m	e	zz	mezzik	mezzik	mezz	TRUE	TRUE
m	ö	kß	mökßik	mökszik	mökß	TRUE	TRUE
l	ö	ng	löngik	löngik	löng	TRUE	TRUE
z	í	kl	zíklik	zíklik	zíkl	TRUE	TRUE
h	e	rd	herdik	herdik	herd	TRUE	TRUE
m	ö	tß	mötßik	mötszik	mötß	FALSE	TRUE
r	é	jz	réjzik	réjzik	réjz	FALSE	TRUE
ç	ü	lß	çülßik	csülszik	çülß	TRUE	TRUE
NA	ű	gß	űgßik	űgszik	űgß	TRUE	TRUE
m	ű	gz	műgzik	műgzik	műgz	FALSE	TRUE
b	é	kl	béklik	béklik	békl	FALSE	TRUE
NA	ü	ng	üngik	üngik	üng	TRUE	TRUE
ç	a	jz	çajzik	csajzik	çajz	FALSE	FALSE
¥	i	lß	¥ilßik	nyilszik	¥ilß	TRUE	TRUE
m	u	zl	muzlik	muzlik	muzl	TRUE	TRUE
NA	i	tß	itßik	itszik	itß	FALSE	TRUE
j	o	¥l	jo¥lik	jonylik	jo¥l	TRUE	TRUE
¥	í	tl	¥ítlik	nyítlik	¥ítl	FALSE	TRUE
l	o	gr	logrik	logrik	logr	TRUE	TRUE
k	o	¥l	ko¥lik	konylik	ko¥l	FALSE	TRUE
ç	ű	rz	çűrzik	csűrzik	çűrz	TRUE	TRUE
t	ü	kß	tükßik	tükszik	tükß	TRUE	TRUE
v	a	ml	vamlik	vamlik	vaml	TRUE	TRUE
p	ü	jl	püjlik	püjlik	püjl	TRUE	TRUE
s	ü	rd	sürdik	sürdik	sürd	FALSE	TRUE
r	í	ll	ríllik	ríllik	ríll	TRUE	TRUE
r	u	rl	rurlik	rurlik	rurl	TRUE	TRUE
k	ű	jl	kűjlik	kűjlik	kűjl	TRUE	TRUE
s	é	sd	sésdik	sésdik	sésd	TRUE	TRUE
b	é	ßp	béßpik	bészpik	béßp	TRUE	TRUE
ß	é	zl	ßézlik	szézlik	ßézl	TRUE	TRUE
d	o	rz	dorzik	dorzik	dorz	FALSE	TRUE
NA	e	gl	eglik	eglik	egl	FALSE	TRUE
z	ű	rz	zűrzik	zűrzik	zűrz	TRUE	TRUE
b	o	lß	bolßik	bolszik	bolß	TRUE	TRUE
ß	í	gß	ßígßik	szígszik	ßígß	TRUE	TRUE
k	u	sd	kusdik	kusdik	kusd	TRUE	TRUE
j	é	tl	jétlik	jétlik	jétl	FALSE	TRUE
k	ü	rd	kürdik	kürdik	kürd	FALSE	TRUE
m	ü	jl	müjlik	müjlik	müjl	TRUE	TRUE
s	é	¥l	sé¥lik	sénylik	sé¥l	FALSE	TRUE
m	ö	gr	mögrik	mögrik	mögr	TRUE	TRUE
v	ö	kl	vöklik	vöklik	vökl	TRUE	TRUE
v	ű	lß	vűlßik	vűlszik	vűlß	TRUE	TRUE
z	u	ßp	zußpik	zuszpik	zußp	TRUE	TRUE
k	a	ng	kangik	kangik	kang	TRUE	TRUE
f	u	ßp	fußpik	fuszpik	fußp	TRUE	TRUE
f	á	rl	fárlik	fárlik	fárl	FALSE	TRUE
v	í	sd	vísdik	vísdik	vísd	TRUE	TRUE
d	ű	gß	dűgßik	dűgszik	dűgß	TRUE	TRUE
d	ö	tl	dötlik	dötlik	dötl	FALSE	TRUE
b	o	rl	borlik	borlik	borl	FALSE	TRUE
ß	a	rd	ßardik	szardik	ßard	FALSE	TRUE
t	u	tl	tutlik	tutlik	tutl	TRUE	TRUE
ß	ű	ng	ßűngik	szűngik	ßűng	FALSE	TRUE
¥	i	rz	¥irzik	nyirzik	¥irz	TRUE	TRUE
f	í	jz	fíjzik	fíjzik	fíjz	FALSE	TRUE
p	a	lß	palßik	palszik	palß	FALSE	TRUE
r	í	¥l	rí¥lik	rínylik	rí¥l	FALSE	TRUE
ß	i	tß	ßitßik	szitszik	ßitß	TRUE	TRUE
z	o	kß	zokßik	zokszik	zokß	TRUE	TRUE
z	í	gß	zígßik	zígszik	zígß	TRUE	TRUE
r	i	zl	rizlik	rizlik	rizl	TRUE	TRUE
h	o	kl	hoklik	hoklik	hokl	TRUE	TRUE
d	á	kl	dáklik	dáklik	dákl	TRUE	TRUE
p	e	gz	pegzik	pegzik	pegz	FALSE	TRUE
l	e	ßp	leßpik	leszpik	leßp	TRUE	TRUE
