base	base_tr	variation	type	variant1	variant2	resp1	resp2	log_odds	derivational	nsyl	vowel	suffix	carrier_sentence	target_sentence	cat1_weight	baseline_gcm_info
spilágzik	spilágzik	lakok/lakom	nonce word response	spilágzok	spilágzom	7	20	-0.9650808960435872	-zik	2	NA	NA	Te bizony sokat spilágzol.	Én is sokat...	0.5281876585778715	q: thirty, s: 0.9, r: 0.5
spírzik	spírzik	lakok/lakom	nonce word response	spírzok	spírzom	13	13	0	-zik	1	NA	NA	Te bizony sokat spírzol.	Én is sokat...	0.5549908505163214	q: thirty, s: 0.9, r: 0.5
sprálszik	sprálßik	lakok/lakom	nonce word response	sprálszok	sprálszom	11	15	-0.2876820724517809	-szik	1	NA	NA	Te bizony sokat sprálszol.	Én is sokat...	0.42687593117403594	q: thirty, s: 0.9, r: 0.5
sprédlik	sprédlik	lakok/lakom	nonce word response	sprédlek	sprédlem	25	2	2.159484249353372	-lik	1	NA	NA	Te bizony sokat sprédlesz.	Én is sokat...	0.5403191744557196	q: thirty, s: 0.9, r: 0.5
spröbzik	spröbzik	lakok/lakom	nonce word response	spröbzök	spröbzöm	15	11	0.28768207245178085	-zik	1	NA	NA	Te bizony sokat spröbzöl.	Én is sokat...	0.5374048456625201	q: thirty, s: 0.9, r: 0.5
sprogzik	sprogzik	lakok/lakom	nonce word response	sprogzok	sprogzom	9	20	-0.7419373447293773	-zik	1	NA	NA	Te bizony sokat sprogzol.	Én is sokat...	0.5167531418772009	q: thirty, s: 0.9, r: 0.5
sprökszik	sprökßik	lakok/lakom	nonce word response	sprökszök	sprökszöm	11	15	-0.2876820724517809	-szik	1	NA	NA	Te bizony sokat sprökszöl.	Én is sokat...	0.3771458153987823	q: thirty, s: 0.9, r: 0.5
spubonylik	spubo¥lik	lakok/lakom	nonce word response	spubonylok	spubonylom	23	6	1.2321436812926323	-lik	2	NA	NA	Te bizony sokat spubonylasz.	Én is sokat...	0.5766946831096271	q: thirty, s: 0.9, r: 0.5
spüjzik	spüjzik	lakok/lakom	nonce word response	spüjzök	spüjzöm	21	8	0.8938178760220965	-zik	1	NA	NA	Te bizony sokat spüjzöl.	Én is sokat...	0.5369689275956625	q: thirty, s: 0.9, r: 0.5
spülöklik	spülöklik	lakok/lakom	nonce word response	spülöklök	spülöklöm	15	11	0.28768207245178085	-lik	2	NA	NA	Te bizony sokat spülöklesz.	Én is sokat...	0.5042631204559602	q: thirty, s: 0.9, r: 0.5
spülőrzik	spülőrzik	lakok/lakom	nonce word response	spülőrzök	spülőrzöm	17	9	0.5877866649021191	-zik	2	NA	NA	Te bizony sokat spülőrzöl.	Én is sokat...	0.5356322339731889	q: thirty, s: 0.9, r: 0.5
spülűdzik	spülűdzik	lakok/lakom	nonce word response	spülűdzök	spülűdzöm	13	16	-0.1941560144409575	-zik	2	NA	NA	Te bizony sokat spülűdzöl.	Én is sokat...	0.544515306101522	q: thirty, s: 0.9, r: 0.5
spűmlik	spűmlik	lakok/lakom	nonce word response	spűmlök	spűmlöm	23	4	1.5686159179138452	-lik	1	NA	NA	Te bizony sokat spűmlesz.	Én is sokat...	0.5504210221084497	q: thirty, s: 0.9, r: 0.5
spüszlik	spüßlik	lakok/lakom	nonce word response	spüszlök	spüszlöm	14	12	0.14310084364067324	-lik	1	NA	NA	Te bizony sokat spüszlesz.	Én is sokat...	0.5195380455235536	q: thirty, s: 0.9, r: 0.5
sűzlik	sűzlik	lakok/lakom	nonce word response	sűzlök	sűzlöm	14	12	0.14310084364067324	-lik	1	NA	NA	Te bizony sokat sűzlesz.	Én is sokat...	0.5661232565227546	q: thirty, s: 0.9, r: 0.5
szibánylik	ßibá¥lik	lakok/lakom	nonce word response	szibánylok	szibánylom	19	8	0.7985076962177716	-lik	2	NA	NA	Te bizony sokat szibánylasz.	Én is sokat...	0.5126014602878912	q: thirty, s: 0.9, r: 0.5
szirlik	ßirlik	lakok/lakom	nonce word response	szirlok	szirlom	20	9	0.7419373447293773	-lik	1	NA	NA	Te bizony sokat szirlasz.	Én is sokat...	0.6185735910595745	q: thirty, s: 0.9, r: 0.5
sztremlik	ßtremlik	lakok/lakom	nonce word response	sztremlek	sztremlem	22	5	1.3437347467010947	-lik	1	NA	NA	Te bizony sokat sztremlesz.	Én is sokat...	0.5510419068678243	q: thirty, s: 0.9, r: 0.5
sztrijzik	ßtrijzik	lakok/lakom	nonce word response	sztrijzok	sztrijzom	14	12	0.14310084364067324	-zik	1	NA	NA	Te bizony sokat sztrijzol.	Én is sokat...	0.532448293683855	q: thirty, s: 0.9, r: 0.5
sztrozlik	ßtrozlik	lakok/lakom	nonce word response	sztrozlok	sztrozlom	16	10	0.4353180712578455	-lik	1	NA	NA	Te bizony sokat sztrozlasz.	Én is sokat...	0.5035831584666766	q: thirty, s: 0.9, r: 0.5
sztruglik	ßtruglik	lakok/lakom	nonce word response	sztruglok	sztruglom	16	10	0.4353180712578455	-lik	1	NA	NA	Te bizony sokat sztruglasz.	Én is sokat...	0.5128313992867126	q: thirty, s: 0.9, r: 0.5
sztrűkszik	ßtrűkßik	lakok/lakom	nonce word response	sztrűkszök	sztrűkszöm	11	15	-0.2876820724517809	-szik	1	NA	NA	Te bizony sokat sztrűkszöl.	Én is sokat...	0.38947231961117473	q: thirty, s: 0.9, r: 0.5
szűslik	ßűslik	lakok/lakom	nonce word response	szűslök	szűslöm	21	8	0.8938178760220965	-lik	1	NA	NA	Te bizony sokat szűslesz.	Én is sokat...	0.6185051058711382	q: thirty, s: 0.9, r: 0.5
táklik	táklik	lakok/lakom	nonce word response	táklok	táklom	11	15	-0.2876820724517809	-lik	1	NA	NA	Te bizony sokat táklasz.	Én is sokat...	0.5232490167017946	q: thirty, s: 0.9, r: 0.5
tínylik	tí¥lik	lakok/lakom	nonce word response	tínylok	tínylom	16	10	0.4353180712578455	-lik	1	NA	NA	Te bizony sokat tínylasz.	Én is sokat...	0.6017508367202966	q: thirty, s: 0.9, r: 0.5
tiregzik	tiregzik	lakok/lakom	nonce word response	tiregzek	tiregzem	15	14	0.06453852113757116	-zik	2	NA	NA	Te bizony sokat tiregzel.	Én is sokat...	0.4846885445319247	q: thirty, s: 0.9, r: 0.5
tomlik	tomlik	lakok/lakom	nonce word response	tomlok	tomlom	27	2	2.2335922215070942	-lik	1	NA	NA	Te bizony sokat tomlasz.	Én is sokat...	0.6041041796462502	q: thirty, s: 0.9, r: 0.5
trádlik	trádlik	lakok/lakom	nonce word response	trádlok	trádlom	16	10	0.4353180712578455	-lik	1	NA	NA	Te bizony sokat trádlasz.	Én is sokat...	0.5258759012053336	q: thirty, s: 0.9, r: 0.5
tragzik	tragzik	lakok/lakom	nonce word response	tragzok	tragzom	13	14	-0.06899287148695143	-zik	1	NA	NA	Te bizony sokat tragzol.	Én is sokat...	0.5041457915882556	q: thirty, s: 0.9, r: 0.5
treglik	treglik	lakok/lakom	nonce word response	treglek	treglem	18	8	0.7472144018302211	-lik	1	NA	NA	Te bizony sokat treglesz.	Én is sokat...	0.5127407256599348	q: thirty, s: 0.9, r: 0.5
trehégszik	trehégßik	lakok/lakom	nonce word response	trehégszek	trehégszem	8	18	-0.7472144018302211	-szik	2	NA	NA	Te bizony sokat trehégszel.	Én is sokat...	0.40653226990410773	q: thirty, s: 0.9, r: 0.5
trihagzik	trihagzik	lakok/lakom	nonce word response	trihagzok	trihagzom	9	18	-0.6418538861723948	-zik	2	NA	NA	Te bizony sokat trihagzol.	Én is sokat...	0.524620548120256	q: thirty, s: 0.9, r: 0.5
trilszik	trilßik	lakok/lakom	nonce word response	trilszok	trilszom	15	11	0.28768207245178085	-szik	1	NA	NA	Te bizony sokat trilszol.	Én is sokat...	0.4945902104456473	q: thirty, s: 0.9, r: 0.5
tuboklik	tuboklik	lakok/lakom	nonce word response	tuboklok	tuboklom	16	10	0.4353180712578455	-lik	2	NA	NA	Te bizony sokat tuboklasz.	Én is sokat...	0.5455384302965365	q: thirty, s: 0.9, r: 0.5
vanylik	va¥lik	lakok/lakom	nonce word response	vanylok	vanylom	21	6	1.1451323043030026	-lik	1	NA	NA	Te bizony sokat vanylasz.	Én is sokat...	0.5723044626167161	q: thirty, s: 0.9, r: 0.5
vihepszik	vihepßik	lakok/lakom	nonce word response	vihepszek	vihepszem	8	18	-0.7472144018302211	-szik	2	NA	NA	Te bizony sokat vihepszel.	Én is sokat...	0.4410189032009817	q: thirty, s: 0.9, r: 0.5
vilakszik	vilakßik	lakok/lakom	nonce word response	vilakszok	vilakszom	8	19	-0.7985076962177716	-szik	2	NA	NA	Te bizony sokat vilakszol.	Én is sokat...	0.32393578785243266	q: thirty, s: 0.9, r: 0.5
vűjlik	vűjlik	lakok/lakom	nonce word response	vűjlök	vűjlöm	20	6	1.0986122886681098	-lik	1	NA	NA	Te bizony sokat vűjlesz.	Én is sokat...	0.5847495243694633	q: thirty, s: 0.9, r: 0.5
vülődzik	vülődzik	lakok/lakom	nonce word response	vülődzök	vülődzöm	14	13	0.06899287148695142	-zik	2	NA	NA	Te bizony sokat vülődzöl.	Én is sokat...	0.49780274016516923	q: thirty, s: 0.9, r: 0.5
zödlik	zödlik	lakok/lakom	nonce word response	zödlök	zödlöm	18	8	0.7472144018302211	-lik	1	NA	NA	Te bizony sokat zödlesz.	Én is sokat...	0.5804822168946724	q: thirty, s: 0.9, r: 0.5
bejzik / bejezik	bejzik / bejezik	cselekszenek/cselekednek	nonce word response	bejzünk	bejezünk	13	14	-0.06899287148695143	-zik	1	NA	ünk	János imád bejezni, ezért sokat bejzik.	Mi ritkán...	0.08674004499182085	q: NA, s: 0.9, type: all -ik, r: 0.26
bötőrzik / bötőrözik	bötőrzik / bötőrözik	cselekszenek/cselekednek	nonce word response	bötőrzünk	bötőrözünk	16	11	0.3483066942682158	-zik	2	NA	ünk	János imád bötőrözni, ezért sokat bötőrzik.	Mi ritkán...	0.04396255873244786	q: NA, s: 0.9, type: all -ik, r: 0.26
brálamlik / brálamozik	brálamlik / brálamozik	cselekszenek/cselekednek	nonce word response	brálamlanak	brálamoznak	16	10	0.4353180712578455	-lik	2	NA	nek	János imád brálamozni, ezért sokat brálamlik.	Ők ritkán...	0.15854516395024598	q: NA, s: 0.9, type: all -ik, r: 0.26
branylik / branyozik	bra¥lik / bra¥ozik	cselekszenek/cselekednek	nonce word response	branylanak	branyoznak	17	12	0.32542240043462795	-lik	1	NA	nek	János imád branyozni, ezért sokat branylik.	Ők ritkán...	0.12165037727678095	q: NA, s: 0.9, type: all -ik, r: 0.26
brárlik / brározik	brárlik / brározik	cselekszenek/cselekednek	nonce word response	brárlanak	brároznak	14	12	0.14310084364067324	-lik	1	NA	nek	János imád brározni, ezért sokat brárlik.	Ők ritkán...	0.12564716558552538	q: NA, s: 0.9, type: all -ik, r: 0.26
bratárzik / bratározik	bratárzik / bratározik	cselekszenek/cselekednek	nonce word response	bratárzanak	bratároznak	5	21	-1.2992829841302609	-zik	2	NA	nek	János imád bratározni, ezért sokat bratárzik.	Ők ritkán...	0.030297696038504653	q: NA, s: 0.9, type: all -ik, r: 0.26
bregzik / bregezik	bregzik / bregezik	cselekszenek/cselekednek	nonce word response	bregzünk	bregezünk	17	10	0.49247648509779424	-zik	1	NA	ünk	János imád bregezni, ezért sokat bregzik.	Mi ritkán...	0.05930190998422402	q: NA, s: 0.9, type: all -ik, r: 0.26
breslik / bresezik	breslik / bresezik	cselekszenek/cselekednek	nonce word response	breslenek	breseznek	14	13	0.06899287148695142	-lik	1	NA	nek	János imád bresezni, ezért sokat breslik.	Ők ritkán...	0.10644184551101077	q: NA, s: 0.9, type: all -ik, r: 0.26
bribaslik / bribasozik	bribaslik / bribasozik	cselekszenek/cselekednek	nonce word response	bribaslanak	bribasoznak	11	16	-0.3483066942682157	-lik	2	NA	nek	János imád bribasozni, ezért sokat bribaslik.	Ők ritkán...	0.12890309128634375	q: NA, s: 0.9, type: all -ik, r: 0.26
bribékszik / bribékedik	bribékßik / bribékedik	cselekszenek/cselekednek	nonce word response	bribékszetek	bribékedtek	13	16	-0.1941560144409575	-szik	2	NA	tek	János imád bribékedni, ezért sokat bribékszik.	Ti ritkán...	0.04553405241243372	q: NA, s: 0.9, type: all -ik, r: 0.26
brilegzik / brilegezik	brilegzik / brilegezik	cselekszenek/cselekednek	nonce word response	brilegzünk	brilegezünk	15	11	0.28768207245178085	-zik	2	NA	ünk	János imád brilegezni, ezért sokat brilegzik.	Mi ritkán...	0.057770629657224466	q: NA, s: 0.9, type: all -ik, r: 0.26
briváglik / brivágozik	briváglik / brivágozik	cselekszenek/cselekednek	nonce word response	briváglanak	brivágoznak	11	15	-0.2876820724517809	-lik	2	NA	nek	János imád brivágozni, ezért sokat briváglik.	Ők ritkán...	0.09519597467568958	q: NA, s: 0.9, type: all -ik, r: 0.26
brivaklik / brivakozik	brivaklik / brivakozik	cselekszenek/cselekednek	nonce word response	brivaklotok	brivakoztok	12	15	-0.2076393647782445	-lik	2	NA	tek	János imád brivakozni, ezért sokat brivaklik.	Ti ritkán...	0.10713742452010598	q: NA, s: 0.9, type: all -ik, r: 0.26
brivepszik / brivepedik	brivepßik / brivepedik	cselekszenek/cselekednek	nonce word response	brivepszünk	brivepedünk	19	7	0.9162907318741552	-szik	2	NA	ünk	János imád brivepedni, ezért sokat brivepszik.	Mi ritkán...	0.06713928060133964	q: NA, s: 0.9, type: all -ik, r: 0.26
brözlik / brözözik	brözlik / brözözik	cselekszenek/cselekednek	nonce word response	brözlötök	brözöztök	14	13	0.06899287148695142	-lik	1	NA	tek	János imád brözözni, ezért sokat brözlik.	Ti ritkán...	0.08682717681964619	q: NA, s: 0.9, type: all -ik, r: 0.26
brűklik / brűközik	brűklik / brűközik	cselekszenek/cselekednek	nonce word response	brűklötök	brűköztök	14	12	0.14310084364067324	-lik	1	NA	tek	János imád brűközni, ezért sokat brűklik.	Ti ritkán...	0.07981211693668462	q: NA, s: 0.9, type: all -ik, r: 0.26
brülöslik / brülösözik	brülöslik / brülösözik	cselekszenek/cselekednek	nonce word response	brülöslünk	brülösözünk	13	14	-0.06899287148695143	-lik	2	NA	ünk	János imád brülösözni, ezért sokat brülöslik.	Mi ritkán...	0.08842569842017903	q: NA, s: 0.9, type: all -ik, r: 0.26
brürzik / brürözik	brürzik / brürözik	cselekszenek/cselekednek	nonce word response	brürzenek	brüröznek	12	14	-0.1431008436406733	-zik	1	NA	nek	János imád brürözni, ezért sokat brürzik.	Ők ritkán...	0.050314694338345005	q: NA, s: 0.9, type: all -ik, r: 0.26
brüszlik / brüszözik	brüßlik / brüßözik	cselekszenek/cselekednek	nonce word response	brüszlötök	brüszöztök	12	15	-0.2076393647782445	-lik	1	NA	tek	János imád brüszözni, ezért sokat brüszlik.	Ti ritkán...	0.10724733100138184	q: NA, s: 0.9, type: all -ik, r: 0.26
bügzik / bügözik	bügzik / bügözik	cselekszenek/cselekednek	nonce word response	bügzenek	bügöznek	18	9	0.6418538861723947	-zik	1	NA	nek	János imád bügözni, ezért sokat bügzik.	Ők ritkán...	0.06405331734462821	q: NA, s: 0.9, type: all -ik, r: 0.26
csibagzik / csibagozik	çibagzik / çibagozik	cselekszenek/cselekednek	nonce word response	csibagzotok	csibagoztok	8	19	-0.7985076962177716	-zik	2	NA	tek	János imád csibagozni, ezért sokat csibagzik.	Ti ritkán...	0.07898844115941336	q: NA, s: 0.9, type: all -ik, r: 0.26
csubzik / csubozik	çubzik / çubozik	cselekszenek/cselekednek	nonce word response	csubzunk	csubozunk	20	9	0.7419373447293773	-zik	1	NA	ünk	János imád csubozni, ezért sokat csubzik.	Mi ritkán...	0.06643740214129097	q: NA, s: 0.9, type: all -ik, r: 0.26
dabzik / dabozik	dabzik / dabozik	cselekszenek/cselekednek	nonce word response	dabzotok	daboztok	13	16	-0.1941560144409575	-zik	1	NA	tek	János imád dabozni, ezért sokat dabzik.	Ti ritkán...	0.0658860595770119	q: NA, s: 0.9, type: all -ik, r: 0.26
dárakszik / dárakodik	dárakßik / dárakodik	cselekszenek/cselekednek	nonce word response	dárakszunk	dárakodunk	15	14	0.06453852113757116	-szik	2	NA	ünk	János imád dárakodni, ezért sokat dárakszik.	Mi ritkán...	0.0713438895694949	q: NA, s: 0.9, type: all -ik, r: 0.26
dibáglik / dibágozik	dibáglik / dibágozik	cselekszenek/cselekednek	nonce word response	dibáglotok	dibágoztok	16	13	0.1941560144409574	-lik	2	NA	tek	János imád dibágozni, ezért sokat dibáglik.	Ti ritkán...	0.12701994992751492	q: NA, s: 0.9, type: all -ik, r: 0.26
dilaklik / dilakozik	dilaklik / dilakozik	cselekszenek/cselekednek	nonce word response	dilaklotok	dilakoztok	11	18	-0.4595323293784402	-lik	2	NA	tek	János imád dilakozni, ezért sokat dilaklik.	Ti ritkán...	0.13175081095133237	q: NA, s: 0.9, type: all -ik, r: 0.26
diránylik / dirányozik	dirá¥lik / dirá¥ozik	cselekszenek/cselekednek	nonce word response	diránylanak	dirányoznak	13	14	-0.06899287148695143	-lik	2	NA	nek	János imád dirányozni, ezért sokat diránylik.	Ők ritkán...	0.12121878781310783	q: NA, s: 0.9, type: all -ik, r: 0.26
dirlik / dirozik	dirlik / dirozik	cselekszenek/cselekednek	nonce word response	dirlotok	diroztok	13	13	0	-lik	1	NA	tek	János imád dirozni, ezért sokat dirlik.	Ti ritkán...	0.17123034914468024	q: NA, s: 0.9, type: all -ik, r: 0.26
döjlik / döjözik	döjlik / döjözik	cselekszenek/cselekednek	nonce word response	döjlenek	döjöznek	17	9	0.5877866649021191	-lik	1	NA	nek	János imád döjözni, ezért sokat döjlik.	Ők ritkán...	0.16837036391860122	q: NA, s: 0.9, type: all -ik, r: 0.26
dralágzik / dralágozik	dralágzik / dralágozik	cselekszenek/cselekednek	nonce word response	dralágzunk	dralágozunk	16	10	0.4353180712578455	-zik	2	NA	ünk	János imád dralágozni, ezért sokat dralágzik.	Mi ritkán...	0.03724628452614072	q: NA, s: 0.9, type: all -ik, r: 0.26
drilarzik / drilarozik	drilarzik / drilarozik	cselekszenek/cselekednek	nonce word response	drilarzunk	drilarozunk	10	16	-0.4353180712578455	-zik	2	NA	ünk	János imád drilarozni, ezért sokat drilarzik.	Mi ritkán...	0.06128737697386809	q: NA, s: 0.9, type: all -ik, r: 0.26
drivegzik / drivegezik	drivegzik / drivegezik	cselekszenek/cselekednek	nonce word response	drivegzetek	drivegeztek	10	16	-0.4353180712578455	-zik	2	NA	tek	János imád drivegezni, ezért sokat drivegzik.	Ti ritkán...	0.06422217312038722	q: NA, s: 0.9, type: all -ik, r: 0.26
drojzik / drojozik	drojzik / drojozik	cselekszenek/cselekednek	nonce word response	drojzunk	drojozunk	17	12	0.32542240043462795	-zik	1	NA	ünk	János imád drojozni, ezért sokat drojzik.	Mi ritkán...	0.05526729927686486	q: NA, s: 0.9, type: all -ik, r: 0.26
drűrzik / drűrözik	drűrzik / drűrözik	cselekszenek/cselekednek	nonce word response	drűrzenek	drűröznek	11	16	-0.3483066942682157	-zik	1	NA	nek	János imád drűrözni, ezért sokat drűrzik.	Ők ritkán...	0.04825128019853627	q: NA, s: 0.9, type: all -ik, r: 0.26
dujzik / dujozik	dujzik / dujozik	cselekszenek/cselekednek	nonce word response	dujzanak	dujoznak	16	11	0.3483066942682158	-zik	1	NA	nek	János imád dujozni, ezért sokat dujzik.	Ők ritkán...	0.0723657616762979	q: NA, s: 0.9, type: all -ik, r: 0.26
filánylik / filányozik	filá¥lik / filá¥ozik	cselekszenek/cselekednek	nonce word response	filánylunk	filányozunk	13	13	0	-lik	2	NA	ünk	János imád filányozni, ezért sokat filánylik.	Mi ritkán...	0.1347937243527886	q: NA, s: 0.9, type: all -ik, r: 0.26
flátlik / flátozik	flátlik / flátozik	cselekszenek/cselekednek	nonce word response	flátlotok	flátoztok	11	15	-0.2876820724517809	-lik	1	NA	tek	János imád flátozni, ezért sokat flátlik.	Ti ritkán...	0.16970370320561018	q: NA, s: 0.9, type: all -ik, r: 0.26
flemlik / flemezik	flemlik / flemezik	cselekszenek/cselekednek	nonce word response	flemlünk	flemezünk	10	19	-0.5978370007556204	-lik	1	NA	ünk	János imád flemezni, ezért sokat flemlik.	Mi ritkán...	0.13700502867890946	q: NA, s: 0.9, type: all -ik, r: 0.26
flerékszik / flerékedik	flerékßik / flerékedik	cselekszenek/cselekednek	nonce word response	flerékszünk	flerékedünk	17	12	0.32542240043462795	-szik	2	NA	ünk	János imád flerékedni, ezért sokat flerékszik.	Mi ritkán...	0.05350186972248708	q: NA, s: 0.9, type: all -ik, r: 0.26
flézlik / flézezik	flézlik / flézezik	cselekszenek/cselekednek	nonce word response	flézletek	flézeztek	11	18	-0.4595323293784402	-lik	1	NA	tek	János imád flézezni, ezért sokat flézlik.	Ti ritkán...	0.11266725820113976	q: NA, s: 0.9, type: all -ik, r: 0.26
flivegzik / flivegezik	flivegzik / flivegezik	cselekszenek/cselekednek	nonce word response	flivegzenek	flivegeznek	11	16	-0.3483066942682157	-zik	2	NA	nek	János imád flivegezni, ezért sokat flivegzik.	Ők ritkán...	0.09617025886790163	q: NA, s: 0.9, type: all -ik, r: 0.26
flodlik / flodozik	flodlik / flodozik	cselekszenek/cselekednek	nonce word response	flodlotok	flodoztok	12	17	-0.325422400434628	-lik	1	NA	tek	János imád flodozni, ezért sokat flodlik.	Ti ritkán...	0.13620185523124295	q: NA, s: 0.9, type: all -ik, r: 0.26
flöklik / flöközik	flöklik / flöközik	cselekszenek/cselekednek	nonce word response	flöklötök	flököztök	12	14	-0.1431008436406733	-lik	1	NA	tek	János imád flöközni, ezért sokat flöklik.	Ti ritkán...	0.1062885084387181	q: NA, s: 0.9, type: all -ik, r: 0.26
fluboklik / flubokozik	fluboklik / flubokozik	cselekszenek/cselekednek	nonce word response	fluboklotok	flubokoztok	10	19	-0.5978370007556204	-lik	2	NA	tek	János imád flubokozni, ezért sokat fluboklik.	Ti ritkán...	0.08170521282681335	q: NA, s: 0.9, type: all -ik, r: 0.26
flugonylik / flugonyozik	flugo¥lik / flugo¥ozik	cselekszenek/cselekednek	nonce word response	flugonylanak	flugonyoznak	13	13	0	-lik	2	NA	nek	János imád flugonyozni, ezért sokat flugonylik.	Ők ritkán...	0.09393554037439886	q: NA, s: 0.9, type: all -ik, r: 0.26
flűgzik / flűgözik	flűgzik / flűgözik	cselekszenek/cselekednek	nonce word response	flűgzünk	flűgözünk	17	12	0.32542240043462795	-zik	1	NA	ünk	János imád flűgözni, ezért sokat flűgzik.	Mi ritkán...	0.0647059102689279	q: NA, s: 0.9, type: all -ik, r: 0.26
flüröklik / flüröközik	flüröklik / flüröközik	cselekszenek/cselekednek	nonce word response	flüröklötök	flürököztök	16	13	0.1941560144409574	-lik	2	NA	tek	János imád flüröközni, ezért sokat flüröklik.	Ti ritkán...	0.0849292029643819	q: NA, s: 0.9, type: all -ik, r: 0.26
fökszik / föködik	fökßik / föködik	cselekszenek/cselekednek	nonce word response	fökszenek	föködnek	18	9	0.6418538861723947	-szik	1	NA	nek	János imád föködni, ezért sokat fökszik.	Ők ritkán...	0.0880400103067451	q: NA, s: 0.9, type: all -ik, r: 0.26
fraklik / frakozik	fraklik / frakozik	cselekszenek/cselekednek	nonce word response	fraklunk	frakozunk	15	12	0.20763936477824457	-lik	1	NA	ünk	János imád frakozni, ezért sokat fraklik.	Mi ritkán...	0.10388819514268977	q: NA, s: 0.9, type: all -ik, r: 0.26
frálapszik / frálapodik	frálapßik / frálapodik	cselekszenek/cselekednek	nonce word response	frálapszotok	frálapodtok	16	10	0.4353180712578455	-szik	2	NA	tek	János imád frálapodni, ezért sokat frálapszik.	Ti ritkán...	0.11547148901222047	q: NA, s: 0.9, type: all -ik, r: 0.26
frálaslik / frálasozik	frálaslik / frálasozik	cselekszenek/cselekednek	nonce word response	frálaslanak	frálasoznak	18	11	0.4595323293784402	-lik	2	NA	nek	János imád frálasozni, ezért sokat frálaslik.	Ők ritkán...	0.14779456598039845	q: NA, s: 0.9, type: all -ik, r: 0.26
frélegzik / frélegezik	frélegzik / frélegezik	cselekszenek/cselekednek	nonce word response	frélegzünk	frélegezünk	19	8	0.7985076962177716	-zik	2	NA	ünk	János imád frélegezni, ezért sokat frélegzik.	Mi ritkán...	0.06184388818086278	q: NA, s: 0.9, type: all -ik, r: 0.26
fréslik / frésezik	fréslik / frésezik	cselekszenek/cselekednek	nonce word response	fréslünk	frésezünk	19	10	0.5978370007556204	-lik	1	NA	ünk	János imád frésezni, ezért sokat fréslik.	Mi ritkán...	0.09489901618968435	q: NA, s: 0.9, type: all -ik, r: 0.26
friheglik / frihegezik	friheglik / frihegezik	cselekszenek/cselekednek	nonce word response	friheglünk	frihegezünk	14	13	0.06899287148695142	-lik	2	NA	ünk	János imád frihegezni, ezért sokat friheglik.	Mi ritkán...	0.14812688824112158	q: NA, s: 0.9, type: all -ik, r: 0.26
frinylik / frinyozik	fri¥lik / fri¥ozik	cselekszenek/cselekednek	nonce word response	frinylunk	frinyozunk	13	14	-0.06899287148695143	-lik	1	NA	ünk	János imád frinyozni, ezért sokat frinylik.	Mi ritkán...	0.11943481301705379	q: NA, s: 0.9, type: all -ik, r: 0.26
frirzik / frirozik	frirzik / frirozik	cselekszenek/cselekednek	nonce word response	frirzunk	frirozunk	11	16	-0.3483066942682157	-zik	1	NA	ünk	János imád frirozni, ezért sokat frirzik.	Mi ritkán...	0.06638160526353364	q: NA, s: 0.9, type: all -ik, r: 0.26
frivamlik / frivamozik	frivamlik / frivamozik	cselekszenek/cselekednek	nonce word response	frivamlunk	frivamozunk	20	9	0.7419373447293773	-lik	2	NA	ünk	János imád frivamozni, ezért sokat frivamlik.	Mi ritkán...	0.13507503228571513	q: NA, s: 0.9, type: all -ik, r: 0.26
fröjlik / fröjözik	fröjlik / fröjözik	cselekszenek/cselekednek	nonce word response	fröjlünk	fröjözünk	17	12	0.32542240043462795	-lik	1	NA	ünk	János imád fröjözni, ezért sokat fröjlik.	Mi ritkán...	0.1261497977659881	q: NA, s: 0.9, type: all -ik, r: 0.26
fröjzik / fröjözik	fröjzik / fröjözik	cselekszenek/cselekednek	nonce word response	fröjzötök	fröjöztök	8	21	-0.8938178760220964	-zik	1	NA	tek	János imád fröjözni, ezért sokat fröjzik.	Ti ritkán...	0.05947424645995667	q: NA, s: 0.9, type: all -ik, r: 0.26
frorlik / frorozik	frorlik / frorozik	cselekszenek/cselekednek	nonce word response	frorlanak	froroznak	17	10	0.49247648509779424	-lik	1	NA	nek	János imád frorozni, ezért sokat frorlik.	Ők ritkán...	0.13404575488386852	q: NA, s: 0.9, type: all -ik, r: 0.26
galárzik / galározik	galárzik / galározik	cselekszenek/cselekednek	nonce word response	galárzanak	galároznak	10	17	-0.49247648509779407	-zik	2	NA	nek	János imád galározni, ezért sokat galárzik.	Ők ritkán...	0.046219888220112956	q: NA, s: 0.9, type: all -ik, r: 0.26
gatáglik / gatágozik	gatáglik / gatágozik	cselekszenek/cselekednek	nonce word response	gatáglunk	gatágozunk	8	19	-0.7985076962177716	-lik	2	NA	ünk	János imád gatágozni, ezért sokat gatáglik.	Mi ritkán...	0.0913613475842035	q: NA, s: 0.9, type: all -ik, r: 0.26
géreglik / géregezik	géreglik / géregezik	cselekszenek/cselekednek	nonce word response	géregletek	géregeztek	9	18	-0.6418538861723948	-lik	2	NA	tek	János imád géregezni, ezért sokat géreglik.	Ti ritkán...	0.13894419877851216	q: NA, s: 0.9, type: all -ik, r: 0.26
gibemlik / gibemezik	gibemlik / gibemezik	cselekszenek/cselekednek	nonce word response	gibemlünk	gibemezünk	16	10	0.4353180712578455	-lik	2	NA	ünk	János imád gibemezni, ezért sokat gibemlik.	Mi ritkán...	0.1330799664070354	q: NA, s: 0.9, type: all -ik, r: 0.26
